token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
69686,BANKINDIA27JAN26160PE,BANKINDIA,27JAN2026,16000.000000,5200,OPTSTK,NFO,1.000000
69793,ADANIENT27JAN262300PE,ADANIENT,27JAN2026,230000.000000,309,OPTSTK,NFO,5.000000
69794,ADANIENT27JAN262340CE,ADANIENT,27JAN2026,234000.000000,309,OPTSTK,NFO,5.000000
86440,EICHERMOT27JAN267200CE,EICHERMOT,27JAN2026,720000.000000,100,OPTSTK,NFO,5.000000
86442,EICHERMOT27JAN267300CE,EICHERMOT,27JAN2026,730000.000000,100,OPTSTK,NFO,5.000000
86443,EICHERMOT27JAN267300PE,EICHERMOT,27JAN2026,730000.000000,100,OPTSTK,NFO,5.000000
86447,EICHERMOT27JAN267500PE,EICHERMOT,27JAN2026,750000.000000,100,OPTSTK,NFO,5.000000
69799,ADANIENT27JAN262420PE,ADANIENT,27JAN2026,242000.000000,309,OPTSTK,NFO,5.000000
86451,EICHERMOT27JAN267700PE,EICHERMOT,27JAN2026,770000.000000,100,OPTSTK,NFO,5.000000
86508,EICHERMOT27JAN268100CE,EICHERMOT,27JAN2026,810000.000000,100,OPTSTK,NFO,5.000000
86530,CONCOR27JAN26495CE,CONCOR,27JAN2026,49500.000000,1250,OPTSTK,NFO,5.000000
86532,CONCOR27JAN26505CE,CONCOR,27JAN2026,50500.000000,1250,OPTSTK,NFO,5.000000
70034,ADANIGREEN27JAN26940CE,ADANIGREEN,27JAN2026,94000.000000,600,OPTSTK,NFO,5.000000
70094,BDL27JAN261520CE,BDL,27JAN2026,152000.000000,350,OPTSTK,NFO,5.000000
86545,CONCOR27JAN26545CE,CONCOR,27JAN2026,54500.000000,1250,OPTSTK,NFO,5.000000
86547,CONCOR27JAN26555CE,CONCOR,27JAN2026,55500.000000,1250,OPTSTK,NFO,5.000000
86568,CONCOR27JAN26565CE,CONCOR,27JAN2026,56500.000000,1250,OPTSTK,NFO,5.000000
70097,BDL27JAN261560PE,BDL,27JAN2026,156000.000000,350,OPTSTK,NFO,5.000000
70103,BDL27JAN261640PE,BDL,27JAN2026,164000.000000,350,OPTSTK,NFO,5.000000
86901,ETERNAL27JAN26270CE,ETERNAL,27JAN2026,27000.000000,2425,OPTSTK,NFO,5.000000
86950,ETERNAL27JAN26320PE,ETERNAL,27JAN2026,32000.000000,2425,OPTSTK,NFO,5.000000
86956,ETERNAL27JAN26340PE,ETERNAL,27JAN2026,34000.000000,2425,OPTSTK,NFO,5.000000
70488,ADANIPORTS27JAN261460PE,ADANIPORTS,27JAN2026,146000.000000,475,OPTSTK,NFO,5.000000
70532,BEL27JAN26360CE,BEL,27JAN2026,36000.000000,1425,OPTSTK,NFO,5.000000
70617,BEL27JAN26420PE,BEL,27JAN2026,42000.000000,1425,OPTSTK,NFO,5.000000
